PID COMMAND         %CPU %MEM
668 Xorg             3.1  5.7
1113 firefox-esr      2.2 15.6
1324 qterminal        1.0  5.3
992 xfwm4            0.6  5.4
1478 zsh              0.4  0.3
928 VBoxClient       0.4  0.1
1053 panel-13-cpugra  0.3  1.5
1682 WebExtensions    0.2  6.5
27 kworker/u4:1-ev  0.2  0.0
